x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0e-5,0.0,0.0,0.0,0.0,4.0e-5,0.0,0.0,0.0,0.0,6.0e-5,0.0,0.0,0.0,4.0e-5,0.0002,0.0,0.0,0.0,0.00038,0.00126
0.0,0.0,0.0,0.0,0.00012,0.0,0.0,0.0,0.0,0.00016,0.0,0.0,0.0,0.0,0.00018,0.0,0.0,0.0,0.0,0.00058,0.0,2.0e-5,2.0e-5,0.00096,0.00334,0.0,6.0e-5,0.00022,0.00566,0.017
0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.00044,0.0,0.0,0.0,0.0,0.00076,0.0,0.0,0.0,0.00016,0.00354,0.00024,0.00044,0.00058,0.00852,0.02058,0.0044,0.00666,0.01008,0.05476,0.08202
0.0,0.0,0.0,0.0,0.00192,0.0,0.0,0.0,0.0,0.00238,0.0,0.0,0.0,0.0,0.00302,0.0,0.0,2.0e-5,0.0011,0.01518,0.0097,0.01242,0.01688,0.0486,0.07738,0.12238,0.13548,0.153,0.25,0.25154
0.0,0.0,0.0,0.0,0.0054,0.0,0.0,0.0,0.0,0.0065,0.0,0.0,0.0,0.0,0.00886,0.00012,0.00018,0.00034,0.00554,0.04132,0.08688,0.09578,0.10976,0.15704,0.18248,0.44648,0.45062,0.45114,0.40716,0.35486
0.0,0.0,0.0,0.0,0.01406,0.0,0.0,0.0,0.0,0.01608,0.0,0.0,0.0,0.0002,0.02118,0.00168,0.00216,0.003,0.01866,0.08574,0.27402,0.28124,0.2853,0.28266,0.27034,0.33848,0.32594,0.30868,0.22748,0.2252
0.0,0.0,0.0,0.0,0.02964,0.0,0.0,0.0,6.0e-5,0.03056,0.0,0.0,0.0,0.00024,0.04216,0.00978,0.01154,0.01506,0.0526,0.13916,0.342,0.33934,0.3307,0.27588,0.2456,0.081,0.07486,0.0701,0.04908,0.05948
0.0,0.0,0.0,8.0e-5,0.04652,0.0,0.0,0.0,8.0e-5,0.0509,0.0,0.0,0.0,0.00102,0.065,0.03892,0.04266,0.04914,0.10522,0.18198,0.20674,0.1945,0.18638,0.15658,0.13886,0.00686,0.00612,0.00654,0.00518,0.00808
0.0,0.0,0.0,0.0002,0.06906,0.0,0.0,0.0,0.00032,0.07402,0.0,0.0,0.0,0.00228,0.09108,0.09334,0.10242,0.11052,0.16194,0.18054,0.06704,0.0622,0.05798,0.05528,0.04832,0.0004,0.00026,0.00024,0.00024,0.00052
0.0,0.0,0.0,0.00042,0.09092,0.0,0.0,0.0,0.00066,0.095,0.0,0.0,0.0,0.00548,0.11334,0.16762,0.17448,0.1757,0.19442,0.15082,0.01172,0.01246,0.01072,0.01244,0.01098,0.0,0.0,0.0,6.0e-5,4.0e-5
